Logradouro/Nome:;Bairro/Distrito:;Localidade/UF:;CEP:
Rua C“nego Cupertino de Lacerda - at‚ 898/899ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-210
Rua Cordeir¢polisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-340
Rua Coromandelÿ;Bras¡liaÿ;Feira de Santana/BA;44088-558
Rua Coronel Ezequielÿ;Bras¡liaÿ;Feira de Santana/BA;44088-588
Rua Coronel Fabricianoÿ;Bras¡liaÿ;Feira de Santana/BA;44088-572
Rua Coronel Murtaÿ;Bras¡liaÿ;Feira de Santana/BA;44088-570
Rua Coronel Ponceÿ;Bras¡liaÿ;Feira de Santana/BA;44088-504
Rua Coronel Proc¢pioÿ;Bras¡liaÿ;Feira de Santana/BA;44088-564
Rua Coronel V¡vidasÿ;Bras¡liaÿ;Feira de Santana/BA;44088-498
Rua Correia Pintoÿ;Bras¡liaÿ;Feira de Santana/BA;44088-582
Rua Correia Pintoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-328
Rua Corrente de Ouroÿ;Bras¡liaÿ;Feira de Santana/BA;44088-576
Rua Cosmopolitaÿ;Pampalonaÿ;Feira de Santana/BA;44031-005
Rua Cosmoramaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-680
Rua Cristian¢polisÿ;Gabrielaÿ;Feira de Santana/BA;44028-411
Rua Cruzeiro do Sulÿ;Pampalonaÿ;Feira de Santana/BA;44031-415
Rua Cuiab ÿ;Campo Limpoÿ;Feira de Santana/BA;44032-062
Rua Cuiab ÿ;Centroÿ;Feira de Santana/BA;44002-684
Rua Curitiba - de 330/331 ao fimÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-578
Rua Curralinhoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-362
Rua Curu‡ambabaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-688
Rua D (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-516
Rua D (Cj W FalcÆo)ÿ;Queimadinhaÿ;Feira de Santana/BA;44050-186
Rua D (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-100
Rua D (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-194
Rua D (Lot Jd das Oliveiras)ÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-420
Rua D (Lot Tangar )ÿ;Gabrielaÿ;Feira de Santana/BA;44030-055
Rua da Aclama‡Æoÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-738
Rua da Alegriaÿ;Avi rioÿ;Feira de Santana/BA;44096-656
Rua da APAEÿ;Centroÿ;Feira de Santana/BA;44002-636
Rua da Conc¢rdiaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-132
Rua da Conquistaÿ;Asa Brancaÿ;Feira de Santana/BA;44044-261
Rua da Maravilhaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-712
Rua da Miseric¢rdiaÿ;Centroÿ;Feira de Santana/BA;44002-780
Rua da Palmaÿ;Gabrielaÿ;Feira de Santana/BA;44030-722
Rua da Pazÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-529
Rua da Pazÿ;Gabrielaÿ;Feira de Santana/BA;44028-399
Rua da Prataÿ;Bras¡liaÿ;Feira de Santana/BA;44088-624
Rua da Saudadeÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-252
Rua da Viagemÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-564
Rua da Vit¢riaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-055
Rua das Am‚ricasÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-152
Rua das Ang‚licasÿ;Avi rioÿ;Feira de Santana/BA;44096-584
Rua das µrvoresÿ;Asa Brancaÿ;Feira de Santana/BA;44044-257
Rua das Espadasÿ;Avi rioÿ;Feira de Santana/BA;44096-602
Rua das Jazidasÿ;Bras¡liaÿ;Feira de Santana/BA;44088-654
Rua das Mangabeirasÿ;Calumbiÿ;Feira de Santana/BA;44009-778
Rua das Mangueirasÿ;Calumbiÿ;Feira de Santana/BA;44009-766
Rua das Palmeirasÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-550
Rua das Palmeirasÿ;Ponto Centralÿ;Feira de Santana/BA;44075-235
Rua das Pombasÿ;Queimadinhaÿ;Feira de Santana/BA;44050-114
Rua Deputado Wilson Linsÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-136
Rua Desembargador Felinto Bastos - de 383 ao fim - lado ¡mparÿ;Centroÿ;Feira de Santana/BA;44002-753
Rua Desembargador Felinto Bastos - de 530 ao fim - lado parÿ;Centroÿ;Feira de Santana/BA;44002-748
Rua Desenbancoÿ;CISÿ;Feira de Santana/BA;44010-635
Rua Dez (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-400
Rua Dezesseis (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-430
Rua Dimas Simäesÿ;Centroÿ;Feira de Santana/BA;44002-708
Rua Divaldo Pereira Francoÿ;Queimadinhaÿ;Feira de Santana/BA;44050-138
Rua Djaniraÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-739
Rua do Altosÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-750
Rua do Buriÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-492
Rua do Planolarÿ;Limoeiroÿ;Feira de Santana/BA;44097-092
Rua do Tesouroÿ;Pampalonaÿ;Feira de Santana/BA;44031-495
Rua Dois (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-382
Rua Dois IrmÆosÿ;Asa Brancaÿ;Feira de Santana/BA;44044-224
Rua Domingos Barbosa de Ara£jo - de 956/957 ao fimÿ;Ponto Centralÿ;Feira de Santana/BA;44075-095
Rua dos Alecrinsÿ;Avi rioÿ;Feira de Santana/BA;44096-572
Rua dos Encantosÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-600
Rua dos Engenhoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-540
Rua dos Oper riosÿ;CISÿ;Feira de Santana/BA;44010-655
Rua dos Pinheirosÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-112
Rua Doutor Antevalÿ;Calumbiÿ;Feira de Santana/BA;44009-070
Rua Doutor Ara£jo Pinho - at‚ 629/630ÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-658
Rua Doutor Evandro Cardosoÿ;Tombaÿ;Feira de Santana/BA;44090-048
Rua Doutor Geraldo Leite - at‚ 599/600ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-306
Rua Doutor JoÆo Evangelista - lado ¡mparÿ;Centroÿ;Feira de Santana/BA;44002-865
Rua Doutor JoÆo Mangabeira - at‚ 246/247ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-192
Rua Doutor Mac rio Cerqueiraÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-205
Rua Doutor Ol¡mpio Vital Constant - lado ¡mparÿ;Centroÿ;Feira de Santana/BA;44002-625
Rua Doutor Sabino Silva - de 823/824 ao fimÿ;Ponto Centralÿ;Feira de Santana/BA;44075-085
Rua Doutor Simäes Filhoÿ;Ponto Centralÿ;Feira de Santana/BA;44075-165
Rua Doutor Vicente dos Reisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-608
Rua Doze (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-406
Rua Doze (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-454
Rua Duque de Caxiasÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-682
Rua E (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-394
Rua E (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-518
Rua E (Lot Jd das Oliveiras)ÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-424
Rua Edgard de Carvalhoÿ;Campo Limpoÿ;Feira de Santana/BA;44032-001
Rua Edgard de Carvalhoÿ;Pampalonaÿ;Feira de Santana/BA;44031-635
Rua Eduardo Sp¡nolaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-032
Rua Egitoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-660
Rua El Salvadorÿ;Avi rioÿ;Feira de Santana/BA;44095-006
Rua Eldoradoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-732
Rua ElesbÆo Velosoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-590
Rua Eliana Dantasÿ;Queimadinhaÿ;Feira de Santana/BA;44050-216
Rua Elizeu Martinsÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-580
Rua Eloi Mendesÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-570
Rua Epiphanio da Silva Freitasÿ;35§ BIÿ;Feira de Santana/BA;44094-734
Rua Epit cio Pessoaÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-204
Rua Erebancoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-738
Rua Erick Carvalhoÿ;Asa Brancaÿ;Feira de Santana/BA;44044-351
Rua Ervƒniaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-736
Rua Escrava Isauraÿ;Gabrielaÿ;Feira de Santana/BA;44028-396
Rua Esperan‡aÿ;Asa Brancaÿ;Feira de Santana/BA;44044-314
Rua Espinosaÿ;Campo Limpoÿ;Feira de Santana/BA;44032-004
Rua Estaloÿ;Mangabeiraÿ;Feira de Santana/BA;44056-634
Rua Esther Freitasÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-694
Rua Estivaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-740
Rua Estreitoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-638
Rua Estrela Dalvaÿ;Avi rioÿ;Feira de Santana/BA;44095-100
Rua Eun polisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-684
Rua Eun polisÿ;Pampalonaÿ;Feira de Santana/BA;44031-450
Rua Evapor ÿ;Avi rioÿ;Feira de Santana/BA;44095-124
Rua Everton Cerqueiraÿ;Gabrielaÿ;Feira de Santana/BA;44028-538
Rua Extremaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-748
Rua F (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-306
Rua F (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-520
Rua F (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-208
Rua F (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-176
Rua F (Lot Jd das Oliveiras)ÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-416
Rua FalcÆoÿ;Avi rioÿ;Feira de Santana/BA;44095-016
Rua Farmacˆutico Jos‚ Alvesÿ;Centroÿ;Feira de Santana/BA;44002-844
Rua Filhos do Solÿ;Centroÿ;Feira de Santana/BA;44002-704
Rua Finlƒndiaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-181
Rua Flor do Carnavalÿ;Centroÿ;Feira de Santana/BA;44002-760
Rua Flora Paulistaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-594
Rua Flores da Cunhaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-604
Rua Florest¢polisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-600
Rua Fl¢rida Paulistaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-596
Rua Fortalezaÿ;Centroÿ;Feira de Santana/BA;44002-652
Rua Francelino Matosÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-318
Rua Frutalÿ;Gabrielaÿ;Feira de Santana/BA;44030-575
Rua Frutalÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-354
Rua G (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-312
Rua G (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-522
Rua Gameleiraÿ;Calumbiÿ;Feira de Santana/BA;44009-758
Rua GaviÆoÿ;Gabrielaÿ;Feira de Santana/BA;44030-675
Rua Gen‚sio Serafim de Limaÿ;Gabrielaÿ;Feira de Santana/BA;44028-526
Rua Genildoÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-554
Rua Girassolÿ;Tombaÿ;Feira de Santana/BA;44090-032
Rua Givaldo Ferrreiraÿ;Avi rioÿ;Feira de Santana/BA;44095-000
Rua Goiƒniaÿ;Campo Limpoÿ;Feira de Santana/BA;44032-054
Rua Grenalÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-586
Rua Guarupabaÿ;Gabrielaÿ;Feira de Santana/BA;44030-655
Rua Gurup ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-384
Rua H (Cj J Paulo II)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-630
Rua H (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-524
Rua Henrique Diasÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-667
Rua Humberto de Campos - de 242/243 ao fimÿ;Queimadinhaÿ;Feira de Santana/BA;44050-078
Rua Iÿ;Avi rioÿ;Feira de Santana/BA;44095-154
Rua I (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-384
Rua I (Cj J Paulo II)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-584
Rua I (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-526
Rua I (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-044
Rua Ibirapueraÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-032
Rua Ibirapueraÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-726
Rua Ibitianeÿ;Mangabeiraÿ;Feira de Santana/BA;44056-792
Rua Ibitit ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-756
Rua Ibiturunaÿ;Asa Brancaÿ;Feira de Santana/BA;44044-214
Rua Ibotiraÿ;Mangabeiraÿ;Feira de Santana/BA;44056-752
Rua Icara¡ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-746
Rua Ieda Martinsÿ;Gabrielaÿ;Feira de Santana/BA;44030-780
Rua Igapor ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-734
Rua Igua‡uÿ;Campo Limpoÿ;Feira de Santana/BA;44032-050
Rua Iguaraciÿ;Mangabeiraÿ;Feira de Santana/BA;44056-742
Rua Iguatamaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-740
Rua Iguatuÿ;Mangabeiraÿ;Feira de Santana/BA;44056-738
Rua Ilha do Governadorÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-650
Rua Ilh‚usÿ;Ponto Centralÿ;Feira de Santana/BA;44075-025
Rua Imba£baÿ;Calumbiÿ;Feira de Santana/BA;44009-772
Rua Öndiaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-169
Rua Intendente Abdon - at‚ 1190/1191ÿ;Queimadinhaÿ;Feira de Santana/BA;44050-024
Rua Ipˆÿ;Calumbiÿ;Feira de Santana/BA;44009-748
Rua Ipir ÿ;Centroÿ;Feira de Santana/BA;44002-836
Rua Irene Maria de Santanaÿ;35§ BIÿ;Feira de Santana/BA;44094-714
Rua Örisÿ;Tombaÿ;Feira de Santana/BA;44090-028
Rua Isaacÿ;Asa Brancaÿ;Feira de Santana/BA;44046-514
Rua Itacuru‡ ÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-430
Rua Itajub ÿ;Queimadinhaÿ;Feira de Santana/BA;44050-168
Rua Itanabaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-420
Rua Itapemirimÿ;Campo Limpoÿ;Feira de Santana/BA;44032-012
Rua Itapetinguiÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-350
Rua Itaquatiaraÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-436
Rua J (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-360
Rua J (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-528
Rua Jacarand ÿ;Calumbiÿ;Feira de Santana/BA;44009-754
Rua Jac¢ÿ;Asa Brancaÿ;Feira de Santana/BA;44046-512
Rua Jandaia - at‚ 508/509ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-626
Rua Jandaia - de 510/511 ao fimÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-548
Rua Jaqueiraÿ;Calumbiÿ;Feira de Santana/BA;44009-776
Rua Jardim JapÆoÿ;Pampalonaÿ;Feira de Santana/BA;44031-455
Rua Jardim Recreioÿ;Limoeiroÿ;Feira de Santana/BA;44097-098
Rua Jean B rbaraÿ;Mangabeiraÿ;Feira de Santana/BA;44056-800
Rua Jerusal‚mÿ;Avi rioÿ;Feira de Santana/BA;44095-148
Rua JoÆo Batistaÿ;Avi rioÿ;Feira de Santana/BA;44096-640
Rua JoÆo Batista Cerqueiraÿ;Gabrielaÿ;Feira de Santana/BA;44028-550
Rua JoÆo Mangabeiraÿ;Mangabeiraÿ;Feira de Santana/BA;44056-390
Rua Joaquim Nabucoÿ;Ponto Centralÿ;Feira de Santana/BA;44075-205
Rua Jonas L¡rioÿ;Avi rioÿ;Feira de Santana/BA;44096-674
Rua Jos‚ Adornoÿ;Asa Brancaÿ;Feira de Santana/BA;44044-219
Rua Jos‚ Am‚ricoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-460
Rua Jos‚ Bonif cioÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-184
Rua Jos‚ Bonif cio - de 773/774 ao fimÿ;Ponto Centralÿ;Feira de Santana/BA;44075-225
Rua Jos‚ Carlos de Carvalhoÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-270
Rua Jos‚ de Alencarÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-192
Rua Jos‚ de Ara£jo Diogoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-808
Rua Jos‚ Ferreira Filhoÿ;35§ BIÿ;Feira de Santana/BA;44094-784
Rua Jos‚ Ferreira N‚riÿ;Gabrielaÿ;Feira de Santana/BA;44028-529
Rua Jos‚ Joviniano Santanaÿ;Gabrielaÿ;Feira de Santana/BA;44028-511
Rua Jos‚ Machadoÿ;Gabrielaÿ;Feira de Santana/BA;44028-487
Rua Jos‚ Machadoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-408
Rua Jos‚ Martins Vit¢rioÿ;Gabrielaÿ;Feira de Santana/BA;44028-520
Rua Jos‚ Moreira Diasÿ;Gabrielaÿ;Feira de Santana/BA;44028-535
Rua Joseaneÿ;Queimadinhaÿ;Feira de Santana/BA;44050-156
Rua Joselito Amorimÿ;Mangabeiraÿ;Feira de Santana/BA;44056-308
Rua Juracy MagalhÆes - de 560/561 ao fimÿ;Ponto Centralÿ;Feira de Santana/BA;44075-115
Rua Juscelino Kubitschekÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-574
Rua Juvelino Carneiroÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-024
Rua L (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-402
Rua L (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-530
Rua Laranjeirasÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-440
Rua Leandroÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-550
Rua LeolindaÿBacelarÿLima - de 677/678 ao fimÿ;Ponto Centralÿ;Feira de Santana/BA;44075-075
Rua L¡cio FalcÆo Azevedoÿ;35§ BIÿ;Feira de Santana/BA;44094-718
Rua Lima Pereiraÿ;Asa Brancaÿ;Feira de Santana/BA;44044-169
Rua Londrinaÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-540
Rua Luciano Ribeiroÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-642
Rua Luiz Portugalÿ;Avi rioÿ;Feira de Santana/BA;44095-032
Rua Luiz Sevilhaÿ;Gabrielaÿ;Feira de Santana/BA;44030-755
Rua L-1 (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-404
Rua M (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-420
Rua M (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-381
Rua M (Lot Prq N Am‚rica)ÿ;35§ BIÿ;Feira de Santana/BA;44094-788
Rua Macap ÿ;Centroÿ;Feira de Santana/BA;44002-656
Rua Macei¢ÿ;Centroÿ;Feira de Santana/BA;44002-600
Rua Macei¢ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-213
Rua Machacalisÿ;Asa Brancaÿ;Feira de Santana/BA;44044-450
Rua Machado de Assisÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-228
Rua Madre de Deusÿ;Avi rioÿ;Feira de Santana/BA;44095-038
Rua Maeve Lima Carvalhoÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-524
Rua Magaliÿ;Tombaÿ;Feira de Santana/BA;44090-044
Rua Mag‚ÿ;Asa Brancaÿ;Feira de Santana/BA;44044-460
Rua Manausÿ;Centroÿ;Feira de Santana/BA;44002-680
Rua Mangueiraÿ;Calumbiÿ;Feira de Santana/BA;44009-764
Rua Manoel Matias de Azevedoÿ;Centroÿ;Feira de Santana/BA;44002-616
Rua Manoel Suzartÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-544
Rua Manoel Tim¢teo dos Santosÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-664
Rua Mapueraÿ;Mangabeiraÿ;Feira de Santana/BA;44056-386
Rua Maracaniÿ;Asa Brancaÿ;Feira de Santana/BA;44044-440
Rua Marapanimÿ;Asa Brancaÿ;Feira de Santana/BA;44044-445
Rua Mara£ÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-716
Rua Marcos Aur‚lioÿ;Queimadinhaÿ;Feira de Santana/BA;44050-144
Rua Maria Barbosa Mendesÿ;Calumbiÿ;Feira de Santana/BA;44009-016
Rua Mari polisÿ;Asa Brancaÿ;Feira de Santana/BA;44044-455
Rua Maring ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-602
Rua Marivaldaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-720
Rua Martin¢polisÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44071-722
Rua Maruimÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-690
Rua MazagÆoÿ;Mangabeiraÿ;Feira de Santana/BA;44056-380
Rua Mem de S ÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-160
Rua MilÆo - de 527/528 ao fimÿ;Bras¡liaÿ;Feira de Santana/BA;44088-612
Rua Milton Ramosÿ;Asa Brancaÿ;Feira de Santana/BA;44044-435
Rua Milton Riosÿ;Asa Brancaÿ;Feira de Santana/BA;44044-442
Rua Mimosoÿ;Avi rioÿ;Feira de Santana/BA;44095-010
Rua Mios¢tisÿ;Asa Brancaÿ;Feira de Santana/BA;44044-199
Rua Mirandaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-300
Rua Mois‚sÿ;Avi rioÿ;Feira de Santana/BA;44095-024
Rua Monsenhor Aderbal Miranda - at‚ 573/574ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-294
Rua Monteiroÿ;Pampalonaÿ;Feira de Santana/BA;44031-445
Rua Monteiro Lobatoÿ;Pampalonaÿ;Feira de Santana/BA;44031-552
Rua Montezumaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-015
Rua Muria‚ÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-360
Rua N (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-426
Rua N (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-532
Rua N (Lot Prq N Am‚rica)ÿ;35§ BIÿ;Feira de Santana/BA;44094-782
Rua N (Lot Tangar )ÿ;Gabrielaÿ;Feira de Santana/BA;44030-095
Rua Nantes Bela Vieiraÿ;Gabrielaÿ;Feira de Santana/BA;44028-556
Rua Nossa Senhora Aparecidaÿ;Avi rioÿ;Feira de Santana/BA;44096-692
Rua Nossa Senhora da Pazÿ;Avi rioÿ;Feira de Santana/BA;44096-704
Rua Nossos Amigos Bandeirantesÿ;Avi rioÿ;Feira de Santana/BA;44095-044
Rua Nova Esperan‡aÿ;Avi rioÿ;Feira de Santana/BA;44096-680
Rua O (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-414
Rua O (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-534
Rua O (Lot Tangar )ÿ;Gabrielaÿ;Feira de Santana/BA;44030-085
Rua Odilon Figueiredo Mascarenhasÿ;Pampalonaÿ;Feira de Santana/BA;44031-600
Rua Oit‚ÿ;Calumbiÿ;Feira de Santana/BA;44009-756
Rua Oito (Cj L E MagalhÆes)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-346
Rua Olindaÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-258
Rua Oliven‡aÿ;Mangabeiraÿ;Feira de Santana/BA;44056-364
Rua Ondinaÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-380
Rua Opalaÿ;Bras¡liaÿ;Feira de Santana/BA;44088-630
Rua Oriximin ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-344
Rua Orlando Mascarenhasÿ;Pampalonaÿ;Feira de Santana/BA;44031-555
Rua Osm rio Silva Penaÿ;Gabrielaÿ;Feira de Santana/BA;44028-517
Rua Osvaldo de Abreu Boaventuraÿ;35§ BIÿ;Feira de Santana/BA;44094-776
Rua Otoniel Carneiroÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-016
Rua Ouro Pretoÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-176
Rua P (Cj Avi rio)ÿ;Avi rioÿ;Feira de Santana/BA;44096-366
Rua P (Cj Renascer)ÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-536
Rua Padilhaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-134
Rua Palestinaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-336
Rua Palmaÿ;Centroÿ;Feira de Santana/BA;44002-672
Rua PampÆoÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-380
Rua Pampeiroÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-460
Rua Pamponetÿ;Tombaÿ;Feira de Santana/BA;44090-016
Rua Panam‚ricaÿ;Pampalonaÿ;Feira de Santana/BA;44031-435
Rua Pandalhaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-102
Rua Papa JoÆo XXIII - at‚ 623 - lado ¡mparÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-005
Rua Papa JoÆo XXIII - at‚ 804 - lado parÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-697
Rua Papa JoÆo XXIII - de 806 a 1198 - lado parÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-650
Rua Par ÿ;Asa Brancaÿ;Feira de Santana/BA;44044-329
Rua Paragominasÿ;Mangabeiraÿ;Feira de Santana/BA;44056-418
Rua Paraibana (Lot N Morada)ÿ;Asa Brancaÿ;Feira de Santana/BA;44044-510
Rua Para¡soÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-752
