Logradouro/Nome:;Bairro/Distrito:;Localidade/UF:;CEP:
Caminho 31 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-224
Caminho 32 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-020
Caminho 32 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-228
Caminho 33 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-056
Caminho 34 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-024
Caminho 35 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-052
Caminho 36 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-032
Caminho 37 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-036
Caminho 38 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-040
Caminho 38 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-218
Caminho 39 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-048
Caminho 39 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-254
Caminho 4 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-078
Caminho 4 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-200
Caminho 4 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-430
Caminho 40 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-272
Caminho 5 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-102
Caminho 5 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-182
Caminho 5 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-433
Caminho 6 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-104
Caminho 6 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-436
Caminho 7 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-108
Caminho 7 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-439
Caminho 8 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-112
Caminho 8 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-442
Caminho 9 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-116
Caminho 9 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-445
Condom¡nio Recanto dos P ssarosÿ;Bras¡liaÿ;Feira de Santana/BA;44089-440
Estrada da Cabritaÿ;CISÿ;Feira de Santana/BA;44013-200
Estrada da Pedra Ferradaÿ;Asa Brancaÿ;Feira de Santana/BA;44044-430
Estrada do Besouro - de 1783 ao fim - lado ¡mparÿ;Asa Brancaÿ;Feira de Santana/BA;44046-715
Estrada do Limoeiroÿ;Limoeiroÿ;Feira de Santana/BA;44097-012
Estrada Pau Pomboÿ;35§ BIÿ;Feira de Santana/BA;44094-834
Estrada Velha Feira-Ipir ÿ;Campo do Gado Novoÿ;Feira de Santana/BA;44042-005
Largo da Rinhaÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-203
Passeio 1 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-114
Passeio 10 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-092
Passeio 2 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-028
Passeio 3 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-006
Passeio 4 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-098
Passeio 5 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-050
Passeio 6 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-106
Passeio 7 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-110
Passeio 8 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-062
Passeio 9 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-066
Pra‡a Alvin¢polisÿ;Avi rioÿ;Feira de Santana/BA;44096-590
Pra‡a Carlos Bahiaÿ;Centroÿ;Feira de Santana/BA;44002-772
Pra‡a da Paqueraÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-282
Pra‡a Duque de Caxiasÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-688
Pra‡a Esta‡Æo Novaÿ;Ponto Centralÿ;Feira de Santana/BA;44075-183
Pra‡a Jardim Modeloÿ;Mangabeiraÿ;Feira de Santana/BA;44056-360
Pra‡a JoÆo Marinho FalcÆoÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-168
Pra‡a Petrolinaÿ;Pampalonaÿ;Feira de Santana/BA;44031-442
Pra‡a Tranqilidadeÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-336
Rua A (Feira IX) - at‚ 119/120ÿ;Calumbiÿ;Feira de Santana/BA;44009-060
Rua A (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-284
Rua A (Lot Tangar )ÿ;Gabrielaÿ;Feira de Santana/BA;44030-105
Rua AbraÆoÿ;Calumbiÿ;Feira de Santana/BA;44008-840
Rua Ac ciaÿ;Calumbiÿ;Feira de Santana/BA;44009-750
Rua Adalberto Pereiraÿ;Olhos D'µguaÿ;Feira de Santana/BA;44003-652
Rua Adaltro Pereira de Souzaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-198
Rua AdÆoÿ;Asa Brancaÿ;Feira de Santana/BA;44046-516
Rua Adenil FalcÆo - de 1083 a 1345 - lado ¡mparÿ;Bras¡liaÿ;Feira de Santana/BA;44088-648
Rua Adenil FalcÆo - de 948 a 1350 - lado parÿ;Bras¡liaÿ;Feira de Santana/BA;44088-642
Rua µgata - de 20/21 ao fimÿ;Bras¡liaÿ;Feira de Santana/BA;44088-636
Rua Agatubaÿ;Tombaÿ;Feira de Santana/BA;44090-052
Rua µgua Amarelaÿ;Gabrielaÿ;Feira de Santana/BA;44030-282
Rua µgua Brancaÿ;Gabrielaÿ;Feira de Santana/BA;44030-260
Rua µgua de Cimaÿ;Gabrielaÿ;Feira de Santana/BA;44030-475
Rua µgua Doceÿ;Gabrielaÿ;Feira de Santana/BA;44030-205
Rua µgua Limpaÿ;Gabrielaÿ;Feira de Santana/BA;44030-222
Rua µgua Pretaÿ;Gabrielaÿ;Feira de Santana/BA;44030-232
Rua µgua Rosaÿ;Gabrielaÿ;Feira de Santana/BA;44030-455
Rua µgua Verde - de 450/451 ao fimÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-570
Rua µgua Vermelhaÿ;Gabrielaÿ;Feira de Santana/BA;44030-242
Rua µguas Belasÿ;Gabrielaÿ;Feira de Santana/BA;44030-145
Rua µguas Clarasÿ;Gabrielaÿ;Feira de Santana/BA;44030-202
Rua Aiubaÿ;Avi rioÿ;Feira de Santana/BA;44096-608
Rua Alamedaÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-775
Rua Alameda dos Oitisÿ;Mangabeiraÿ;Feira de Santana/BA;44056-388
Rua Alan Kardecÿ;Gabrielaÿ;Feira de Santana/BA;44030-565
Rua Albƒniaÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-744
Rua Alcƒntaraÿ;Bras¡liaÿ;Feira de Santana/BA;44088-594
Rua Alcƒntaraÿ;Mangabeiraÿ;Feira de Santana/BA;44056-368
Rua Alcides Fadigaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-066
Rua Alexandre Dumasÿ;Gabrielaÿ;Feira de Santana/BA;44030-770
Rua Alexandre Flemmingÿ;Gabrielaÿ;Feira de Santana/BA;44030-775
Rua Almerimÿ;Mangabeiraÿ;Feira de Santana/BA;44056-352
Rua Almirante Barrosoÿ;Gabrielaÿ;Feira de Santana/BA;44030-765
Rua Alo¡sio Resendeÿ;Queimadinhaÿ;Feira de Santana/BA;44050-054
Rua Alpin¢polisÿ;Avi rioÿ;Feira de Santana/BA;44096-578
Rua Altinoÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-756
Rua Alto de Santanaÿ;Gabrielaÿ;Feira de Santana/BA;44030-762
Rua Am lia Motta Faskomyÿ;35§ BIÿ;Feira de Santana/BA;44094-722
Rua Amanariÿ;Santo Ant“nio dos Prazeresÿ;Feira de Santana/BA;44072-748
Rua Amaralina - at‚ 1213 - lado ¡mparÿ;Pampalonaÿ;Feira de Santana/BA;44031-645
Rua Amaralina - de 1215 a 2351 - lado ¡mparÿ;Pampalonaÿ;Feira de Santana/BA;44031-585
Rua Amaralina - de 2353 a 2981 - lado ¡mparÿ;Pampalonaÿ;Feira de Santana/BA;44031-475
Rua Amaralina - de 2356 a 3056 - lado parÿ;Gabrielaÿ;Feira de Santana/BA;44028-408
Rua Amaralina - de 3058 a 3114 - lado parÿ;Gabrielaÿ;Feira de Santana/BA;44028-416
Rua Amaralina - de 3116 ao fim - lado parÿ;Gabrielaÿ;Feira de Santana/BA;44030-898
Rua Amaralina - de 3133 ao fim - lado ¡mparÿ;Pampalonaÿ;Feira de Santana/BA;44031-001
Rua Am‚ricaÿ;Asa Brancaÿ;Feira de Santana/BA;44044-253
Rua Am‚rico Vesp£cioÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-284
Rua Ana Neryÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-378
Rua Angelimÿ;Calumbiÿ;Feira de Santana/BA;44009-751
Rua Angelina Borgesÿ;Avi rioÿ;Feira de Santana/BA;44096-716
Rua Angicoÿ;Calumbiÿ;Feira de Santana/BA;44009-752
Rua Angeraÿ;Ponto Centralÿ;Feira de Santana/BA;44075-035
Rua Anita Garibaldiÿ;Gabrielaÿ;Feira de Santana/BA;44030-785
Rua Antenor Moreira Pinho - at‚ 62/63ÿ;Ch cara SÆo Cosmeÿ;Feira de Santana/BA;44004-040
Rua Ant“nio Carlos Machadoÿ;Gabrielaÿ;Feira de Santana/BA;44028-544
Rua Ant“nio Carlos Madeira Guimarƒesÿ;Gabrielaÿ;Feira de Santana/BA;44028-553
Rua Antonio Motta Freitas (Lot Prq N Am‚rica)ÿ;35§ BIÿ;Feira de Santana/BA;44094-726
Rua Ant“nio Raimundo Pereiraÿ;Pampalonaÿ;Feira de Santana/BA;44031-582
Rua Ant“nio Rubensÿ;Centroÿ;Feira de Santana/BA;44002-764
Rua AquidabÆÿ;Pampalonaÿ;Feira de Santana/BA;44031-588
Rua Aracajuÿ;Centroÿ;Feira de Santana/BA;44002-608
Rua Ara‡ sÿ;Avi rioÿ;Feira de Santana/BA;44095-136
Rua ArapuanÆÿ;Asa Brancaÿ;Feira de Santana/BA;44044-254
Rua Araraguaraÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-576
Rua Araripe J£niorÿ;Gabrielaÿ;Feira de Santana/BA;44030-665
Rua Araripinaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-512
Rua Araruanaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-564
Rua Ararunaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-572
Rua Aratibaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-580
Rua Araticuÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-588
Rua Aratubaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-584
Rua Arauc riaÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-592
Rua Ara£josÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-596
Rua Arco Verdeÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-560
Rua Arcosÿ;Pedra Ferradaÿ;Feira de Santana/BA;44038-600
Rua Armasÿ;Asa Brancaÿ;Feira de Santana/BA;44044-324
Rua Arnold Silvaÿ;Queimadinhaÿ;Feira de Santana/BA;44050-092
Rua Aroeiraÿ;Asa Brancaÿ;Feira de Santana/BA;44044-319
Rua Aroeiraÿ;Calumbiÿ;Feira de Santana/BA;44009-762
