"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Caminho 32 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-228"""
"Caminho 33 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-056"""
"Caminho 34 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-024"""
"Caminho 35 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-052"""
"Caminho 36 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-032"""
"Caminho 37 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-036"""
"Caminho 38 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-040"""
"Caminho 38 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-218"""
"Caminho 39 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-048"""
"Caminho 39 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-254"""
"Caminho 4 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-078"""
"Caminho 4 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-200"""
"Caminho 4 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-430"""
"Caminho 40 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-272"""
"Caminho 5 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-102"""
"Caminho 5 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-182"""
"Caminho 5 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-433"""
"Caminho 6 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-104"""
"Caminho 6 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-436"""
"Caminho 7 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-108"""
"Caminho 7 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-439"""
"Caminho 8 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-112"""
"Caminho 8 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-442"""
"Caminho 9 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-116"""
"Caminho 9 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-445"""
"Condomínio Recanto dos Pássaros,""Brasília "",""Feira de Santana/BA"",""44089-440"""
"Estrada da Cabrita,""CIS "",""Feira de Santana/BA"",""44013-200"""
"Estrada da Pedra Ferrada,""Asa Branca "",""Feira de Santana/BA"",""44044-430"""
"Estrada do Besouro - de 1783 ao fim - lado ímpar,""Asa Branca "",""Feira de Santana/BA"",""44046-715"""
"Estrada do Limoeiro,""Limoeiro "",""Feira de Santana/BA"",""44097-012"""
"Estrada Pau Pombo,""35º BI "",""Feira de Santana/BA"",""44094-834"""
"Estrada Velha Feira-Ipirá,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-005"""
"Largo da Rinha,""Serraria Brasil "",""Feira de Santana/BA"",""44003-203"""
"Passeio 1 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-114"""
"Passeio 10 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-092"""
"Passeio 2 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-028"""
"Passeio 3 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-006"""
"Passeio 4 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-098"""
"Passeio 5 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-050"""
"Passeio 6 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-106"""
"Passeio 7 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-110"""
"Passeio 8 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-062"""
"Passeio 9 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-066"""
"Praça Alvinópolis,""Aviário "",""Feira de Santana/BA"",""44096-590"""
"Praça Carlos Bahia,""Centro "",""Feira de Santana/BA"",""44002-772"""
"Praça da Paquera,""Serraria Brasil "",""Feira de Santana/BA"",""44003-282"""
"Praça Duque de Caxias,""Olhos D'água "",""Feira de Santana/BA"",""44003-688"""
"Praça Estaçáo Nova,""Ponto Central "",""Feira de Santana/BA"",""44075-183"""
"Praça Jardim Modelo,""Mangabeira "",""Feira de Santana/BA"",""44056-360"""
"Praça João Marinho Falcão,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-168"""
"Praça Petrolina,""Pampalona "",""Feira de Santana/BA"",""44031-442"""
"Praça Tranqúilidade,""Serraria Brasil "",""Feira de Santana/BA"",""44003-336"""
