"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Rua Coronel Fabriciano,""Brasília "",""Feira de Santana/BA"",""44088-572"""
"Rua Coronel Murta,""Brasília "",""Feira de Santana/BA"",""44088-570"""
"Rua Coronel Ponce,""Brasília "",""Feira de Santana/BA"",""44088-504"""
"Rua Coronel Procõpio,""Brasília "",""Feira de Santana/BA"",""44088-564"""
"Rua Coronel Vívidas,""Brasília "",""Feira de Santana/BA"",""44088-498"""
"Rua Correia Pinto,""Brasília "",""Feira de Santana/BA"",""44088-582"""
"Rua Correia Pinto,""Mangabeira "",""Feira de Santana/BA"",""44056-328"""
"Rua Corrente de Ouro,""Brasília "",""Feira de Santana/BA"",""44088-576"""
"Rua Cosmopolita,""Pampalona "",""Feira de Santana/BA"",""44031-005"""
"Rua Cosmorama,""Mangabeira "",""Feira de Santana/BA"",""44056-680"""
"Rua Cristianópolis,""Gabriela "",""Feira de Santana/BA"",""44028-411"""
"Rua Cruzeiro do Sul,""Pampalona "",""Feira de Santana/BA"",""44031-415"""
"Rua Cuiabá,""Campo Limpo "",""Feira de Santana/BA"",""44032-062"""
"Rua Cuiabá,""Centro "",""Feira de Santana/BA"",""44002-684"""
"Rua Curitiba - de 330/331 ao fim,""Parque Ipé "",""Feira de Santana/BA"",""44054-578"""
"Rua Curralinho,""Mangabeira "",""Feira de Santana/BA"",""44056-362"""
"Rua Curuçambaba,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-688"""
"Rua D (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-516"""
"Rua D (Cj W Falcão),""Queimadinha "",""Feira de Santana/BA"",""44050-186"""
"Rua D (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-100"""
"Rua D (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-194"""
"Rua D (Lot Jd das Oliveiras),""Pedra Ferrada "",""Feira de Santana/BA"",""44038-420"""
"Rua D (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-055"""
"Rua da Aclamaçáo,""Parque Ipé "",""Feira de Santana/BA"",""44054-738"""
"Rua da Alegria,""Aviário "",""Feira de Santana/BA"",""44096-656"""
"Rua da APAE,""Centro "",""Feira de Santana/BA"",""44002-636"""
"Rua da Concõrdia,""Queimadinha "",""Feira de Santana/BA"",""44050-132"""
"Rua da Conquista,""Asa Branca "",""Feira de Santana/BA"",""44044-261"""
"Rua da Maravilha,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-712"""
"Rua da Misericõrdia,""Centro "",""Feira de Santana/BA"",""44002-780"""
"Rua da Palma,""Gabriela "",""Feira de Santana/BA"",""44030-722"""
"Rua da Paz,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-529"""
"Rua da Paz,""Gabriela "",""Feira de Santana/BA"",""44028-399"""
"Rua da Prata,""Brasília "",""Feira de Santana/BA"",""44088-624"""
"Rua da Saudade,""Serraria Brasil "",""Feira de Santana/BA"",""44003-252"""
"Rua da Viagem,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-564"""
"Rua da Vitória,""Ponto Central "",""Feira de Santana/BA"",""44075-055"""
"Rua das Américas,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-152"""
"Rua das Angélicas,""Aviário "",""Feira de Santana/BA"",""44096-584"""
"Rua das árvores,""Asa Branca "",""Feira de Santana/BA"",""44044-257"""
"Rua das Espadas,""Aviário "",""Feira de Santana/BA"",""44096-602"""
"Rua das Jazidas,""Brasília "",""Feira de Santana/BA"",""44088-654"""
"Rua das Mangabeiras,""Calumbi "",""Feira de Santana/BA"",""44009-778"""
"Rua das Mangueiras,""Calumbi "",""Feira de Santana/BA"",""44009-766"""
"Rua das Palmeiras,""Parque Ipé "",""Feira de Santana/BA"",""44054-550"""
"Rua das Palmeiras,""Ponto Central "",""Feira de Santana/BA"",""44075-235"""
"Rua das Pombas,""Queimadinha "",""Feira de Santana/BA"",""44050-114"""
"Rua Deputado Wilson Lins,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-136"""
"Rua Desembargador Felinto Bastos - de 383 ao fim - lado ímpar,""Centro "",""Feira de Santana/BA"",""44002-753"""
"Rua Desembargador Felinto Bastos - de 530 ao fim - lado par,""Centro "",""Feira de Santana/BA"",""44002-748"""
"Rua Desenbanco,""CIS "",""Feira de Santana/BA"",""44010-635"""
"Rua Dez (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-400"""
"Rua Dezesseis (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-430"""
"Rua Dimas Simões,""Centro "",""Feira de Santana/BA"",""44002-708"""
"Rua Divaldo Pereira Franco,""Queimadinha "",""Feira de Santana/BA"",""44050-138"""
"Rua Djanira,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-739"""
"Rua do Altos,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-750"""
"Rua do Buri,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-492"""
"Rua do Planolar,""Limoeiro "",""Feira de Santana/BA"",""44097-092"""
"Rua do Tesouro,""Pampalona "",""Feira de Santana/BA"",""44031-495"""
"Rua Dois (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-382"""
"Rua Dois Irmáos,""Asa Branca "",""Feira de Santana/BA"",""44044-224"""
"Rua Domingos Barbosa de Araújo - de 956/957 ao fim,""Ponto Central "",""Feira de Santana/BA"",""44075-095"""
"Rua dos Alecrins,""Aviário "",""Feira de Santana/BA"",""44096-572"""
"Rua dos Encantos,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-600"""
"Rua dos Engenho,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-540"""
"Rua dos Operários,""CIS "",""Feira de Santana/BA"",""44010-655"""
"Rua dos Pinheiros,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-112"""
"Rua Doutor Anteval,""Calumbi "",""Feira de Santana/BA"",""44009-070"""
"Rua Doutor Araújo Pinho - até 629/630,""Olhos D'água "",""Feira de Santana/BA"",""44003-658"""
"Rua Doutor Evandro Cardoso,""Tomba "",""Feira de Santana/BA"",""44090-048"""
"Rua Doutor Geraldo Leite - até 599/600,""Serraria Brasil "",""Feira de Santana/BA"",""44003-306"""
"Rua Doutor João Evangelista - lado ímpar,""Centro "",""Feira de Santana/BA"",""44002-865"""
"Rua Doutor João Mangabeira - até 246/247,""Serraria Brasil "",""Feira de Santana/BA"",""44003-192"""
"Rua Doutor Macário Cerqueira,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-205"""
"Rua Doutor Olímpio Vital Constant - lado ímpar,""Centro "",""Feira de Santana/BA"",""44002-625"""
"Rua Doutor Sabino Silva - de 823/824 ao fim,""Ponto Central "",""Feira de Santana/BA"",""44075-085"""
"Rua Doutor Simões Filho,""Ponto Central "",""Feira de Santana/BA"",""44075-165"""
"Rua Doutor Vicente dos Reis,""Mangabeira "",""Feira de Santana/BA"",""44056-608"""
"Rua Doze (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-406"""
"Rua Doze (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-454"""
"Rua Duque de Caxias,""Olhos D'água "",""Feira de Santana/BA"",""44003-682"""
"Rua E (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-394"""
"Rua E (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-518"""
"Rua E (Lot Jd das Oliveiras),""Pedra Ferrada "",""Feira de Santana/BA"",""44038-424"""
"Rua Edgard de Carvalho,""Campo Limpo "",""Feira de Santana/BA"",""44032-001"""
"Rua Edgard de Carvalho,""Pampalona "",""Feira de Santana/BA"",""44031-635"""
"Rua Eduardo Spínola,""Queimadinha "",""Feira de Santana/BA"",""44050-032"""
"Rua Egito,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-660"""
"Rua El Salvador,""Aviário "",""Feira de Santana/BA"",""44095-006"""
"Rua Eldorado,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-732"""
"Rua Elesbão Veloso,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-590"""
"Rua Eliana Dantas,""Queimadinha "",""Feira de Santana/BA"",""44050-216"""
"Rua Elizeu Martins,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-580"""
"Rua Eloi Mendes,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-570"""
"Rua Epiphanio da Silva Freitas,""35º BI "",""Feira de Santana/BA"",""44094-734"""
"Rua Epitácio Pessoa,""Serraria Brasil "",""Feira de Santana/BA"",""44003-204"""
"Rua Erebanco,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-738"""
"Rua Erick Carvalho,""Asa Branca "",""Feira de Santana/BA"",""44044-351"""
"Rua Ervânia,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-736"""
"Rua Escrava Isaura,""Gabriela "",""Feira de Santana/BA"",""44028-396"""
"Rua Esperança,""Asa Branca "",""Feira de Santana/BA"",""44044-314"""
"Rua Espinosa,""Campo Limpo "",""Feira de Santana/BA"",""44032-004"""
"Rua Estalo,""Mangabeira "",""Feira de Santana/BA"",""44056-634"""
"Rua Esther Freitas,""Olhos D'água "",""Feira de Santana/BA"",""44003-694"""
"Rua Estiva,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-740"""
"Rua Estreito,""Mangabeira "",""Feira de Santana/BA"",""44056-638"""
"Rua Estrela Dalva,""Aviário "",""Feira de Santana/BA"",""44095-100"""
"Rua Eunápolis,""Mangabeira "",""Feira de Santana/BA"",""44056-684"""
"Rua Eunápolis,""Pampalona "",""Feira de Santana/BA"",""44031-450"""
"Rua Evaporá,""Aviário "",""Feira de Santana/BA"",""44095-124"""
"Rua Everton Cerqueira,""Gabriela "",""Feira de Santana/BA"",""44028-538"""
"Rua Extrema,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-748"""
"Rua F (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-306"""
"Rua F (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-520"""
"Rua F (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-208"""
"Rua F (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-176"""
"Rua F (Lot Jd das Oliveiras),""Pedra Ferrada "",""Feira de Santana/BA"",""44038-416"""
"Rua Falcão,""Aviário "",""Feira de Santana/BA"",""44095-016"""
"Rua Farmacéutico José Alves,""Centro "",""Feira de Santana/BA"",""44002-844"""
"Rua Filhos do Sol,""Centro "",""Feira de Santana/BA"",""44002-704"""
"Rua Finlândia,""Ponto Central "",""Feira de Santana/BA"",""44075-181"""
"Rua Flor do Carnaval,""Centro "",""Feira de Santana/BA"",""44002-760"""
"Rua Flora Paulista,""Mangabeira "",""Feira de Santana/BA"",""44056-594"""
"Rua Flores da Cunha,""Mangabeira "",""Feira de Santana/BA"",""44056-604"""
"Rua Florestópolis,""Mangabeira "",""Feira de Santana/BA"",""44056-600"""
"Rua Flõrida Paulista,""Mangabeira "",""Feira de Santana/BA"",""44056-596"""
"Rua Fortaleza,""Centro "",""Feira de Santana/BA"",""44002-652"""
"Rua Francelino Matos,""Serraria Brasil "",""Feira de Santana/BA"",""44003-318"""
"Rua Frutal,""Gabriela "",""Feira de Santana/BA"",""44030-575"""
"Rua Frutal,""Serraria Brasil "",""Feira de Santana/BA"",""44003-354"""
"Rua G (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-312"""
"Rua G (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-522"""
"Rua Gameleira,""Calumbi "",""Feira de Santana/BA"",""44009-758"""
"Rua Gavião,""Gabriela "",""Feira de Santana/BA"",""44030-675"""
"Rua Genésio Serafim de Lima,""Gabriela "",""Feira de Santana/BA"",""44028-526"""
"Rua Genildo,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-554"""
"Rua Girassol,""Tomba "",""Feira de Santana/BA"",""44090-032"""
"Rua Givaldo Ferrreira,""Aviário "",""Feira de Santana/BA"",""44095-000"""
"Rua Goiânia,""Campo Limpo "",""Feira de Santana/BA"",""44032-054"""
"Rua Grenal,""Parque Ipé "",""Feira de Santana/BA"",""44054-586"""
"Rua Guarupaba,""Gabriela "",""Feira de Santana/BA"",""44030-655"""
"Rua Gurupá,""Mangabeira "",""Feira de Santana/BA"",""44056-384"""
"Rua H (Cj J Paulo II),""Mangabeira "",""Feira de Santana/BA"",""44056-630"""
"Rua H (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-524"""
"Rua Henrique Dias,""Olhos D'água "",""Feira de Santana/BA"",""44003-667"""
"Rua Humberto de Campos - de 242/243 ao fim,""Queimadinha "",""Feira de Santana/BA"",""44050-078"""
"Rua I,""Aviário "",""Feira de Santana/BA"",""44095-154"""
"Rua I (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-384"""
"Rua I (Cj J Paulo II),""Mangabeira "",""Feira de Santana/BA"",""44056-584"""
"Rua I (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-526"""
"Rua I (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-044"""
"Rua Ibirapuera,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-032"""
"Rua Ibirapuera,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-726"""
"Rua Ibitiane,""Mangabeira "",""Feira de Santana/BA"",""44056-792"""
"Rua Ibititá,""Mangabeira "",""Feira de Santana/BA"",""44056-756"""
"Rua Ibituruna,""Asa Branca "",""Feira de Santana/BA"",""44044-214"""
"Rua Ibotira,""Mangabeira "",""Feira de Santana/BA"",""44056-752"""
"Rua Icaraí,""Mangabeira "",""Feira de Santana/BA"",""44056-746"""
"Rua Ieda Martins,""Gabriela "",""Feira de Santana/BA"",""44030-780"""
"Rua Igaporá,""Mangabeira "",""Feira de Santana/BA"",""44056-734"""
"Rua Iguaçu,""Campo Limpo "",""Feira de Santana/BA"",""44032-050"""
"Rua Iguaraci,""Mangabeira "",""Feira de Santana/BA"",""44056-742"""
"Rua Iguatama,""Mangabeira "",""Feira de Santana/BA"",""44056-740"""
"Rua Iguatu,""Mangabeira "",""Feira de Santana/BA"",""44056-738"""
"Rua Ilha do Governador,""Parque Ipé "",""Feira de Santana/BA"",""44054-650"""
"Rua Ilhéus,""Ponto Central "",""Feira de Santana/BA"",""44075-025"""
"Rua Imbaúba,""Calumbi "",""Feira de Santana/BA"",""44009-772"""
"Rua Índia,""Ponto Central "",""Feira de Santana/BA"",""44075-169"""
"Rua Intendente Abdon - até 1190/1191,""Queimadinha "",""Feira de Santana/BA"",""44050-024"""
"Rua Ipé,""Calumbi "",""Feira de Santana/BA"",""44009-748"""
"Rua Ipirá,""Centro "",""Feira de Santana/BA"",""44002-836"""
"Rua Irene Maria de Santana,""35º BI "",""Feira de Santana/BA"",""44094-714"""
"Rua Íris,""Tomba "",""Feira de Santana/BA"",""44090-028"""
"Rua Isaac,""Asa Branca "",""Feira de Santana/BA"",""44046-514"""
"Rua Itacuruçá,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-430"""
"Rua Itajubá,""Queimadinha "",""Feira de Santana/BA"",""44050-168"""
"Rua Itanaba,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-420"""
"Rua Itapemirim,""Campo Limpo "",""Feira de Santana/BA"",""44032-012"""
"Rua Itapetingui,""Serraria Brasil "",""Feira de Santana/BA"",""44003-350"""
"Rua Itaquatiara,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-436"""
"Rua J (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-360"""
"Rua J (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-528"""
"Rua Jacarandá,""Calumbi "",""Feira de Santana/BA"",""44009-754"""
"Rua Jacõ,""Asa Branca "",""Feira de Santana/BA"",""44046-512"""
"Rua Jandaia - até 508/509,""Parque Ipé "",""Feira de Santana/BA"",""44054-626"""
"Rua Jandaia - de 510/511 ao fim,""Parque Ipé "",""Feira de Santana/BA"",""44054-548"""
"Rua Jaqueira,""Calumbi "",""Feira de Santana/BA"",""44009-776"""
"Rua Jardim Japáo,""Pampalona "",""Feira de Santana/BA"",""44031-455"""
"Rua Jardim Recreio,""Limoeiro "",""Feira de Santana/BA"",""44097-098"""
"Rua Jean Bárbara,""Mangabeira "",""Feira de Santana/BA"",""44056-800"""
"Rua Jerusalém,""Aviário "",""Feira de Santana/BA"",""44095-148"""
"Rua João Batista,""Aviário "",""Feira de Santana/BA"",""44096-640"""
"Rua João Batista Cerqueira,""Gabriela "",""Feira de Santana/BA"",""44028-550"""
"Rua João Mangabeira,""Mangabeira "",""Feira de Santana/BA"",""44056-390"""
"Rua Joaquim Nabuco,""Ponto Central "",""Feira de Santana/BA"",""44075-205"""
"Rua Jonas Lírio,""Aviário "",""Feira de Santana/BA"",""44096-674"""
"Rua José Adorno,""Asa Branca "",""Feira de Santana/BA"",""44044-219"""
"Rua José Américo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-460"""
"Rua José Bonifácio,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-184"""
"Rua José Bonifácio - de 773/774 ao fim,""Ponto Central "",""Feira de Santana/BA"",""44075-225"""
"Rua José Carlos de Carvalho,""Serraria Brasil "",""Feira de Santana/BA"",""44003-270"""
"Rua José de Alencar,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-192"""
"Rua José de Araújo Diogo,""Mangabeira "",""Feira de Santana/BA"",""44056-808"""
"Rua José Ferreira Filho,""35º BI "",""Feira de Santana/BA"",""44094-784"""
"Rua José Ferreira Néri,""Gabriela "",""Feira de Santana/BA"",""44028-529"""
"Rua José Joviniano Santana,""Gabriela "",""Feira de Santana/BA"",""44028-511"""
"Rua José Machado,""Gabriela "",""Feira de Santana/BA"",""44028-487"""
"Rua José Machado,""Mangabeira "",""Feira de Santana/BA"",""44056-408"""
"Rua José Martins Vitõrio,""Gabriela "",""Feira de Santana/BA"",""44028-520"""
"Rua José Moreira Dias,""Gabriela "",""Feira de Santana/BA"",""44028-535"""
"Rua Joseane,""Queimadinha "",""Feira de Santana/BA"",""44050-156"""
"Rua Joselito Amorim,""Mangabeira "",""Feira de Santana/BA"",""44056-308"""
"Rua Juracy Magalhães - de 560/561 ao fim,""Ponto Central "",""Feira de Santana/BA"",""44075-115"""
"Rua Juscelino Kubitschek,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-574"""
"Rua Juvelino Carneiro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-024"""
"Rua L (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-402"""
"Rua L (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-530"""
"Rua Laranjeiras,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-440"""
"Rua Leandro,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-550"""
"Rua Leolinda Bacelar Lima - de 677/678 ao fim,""Ponto Central "",""Feira de Santana/BA"",""44075-075"""
"Rua Lício Falcão Azevedo,""35º BI "",""Feira de Santana/BA"",""44094-718"""
"Rua Lima Pereira,""Asa Branca "",""Feira de Santana/BA"",""44044-169"""
"Rua Londrina,""Parque Ipé "",""Feira de Santana/BA"",""44054-540"""
"Rua Luciano Ribeiro,""Parque Ipé "",""Feira de Santana/BA"",""44054-642"""
"Rua Luiz Portugal,""Aviário "",""Feira de Santana/BA"",""44095-032"""
"Rua Luiz Sevilha,""Gabriela "",""Feira de Santana/BA"",""44030-755"""
"Rua L-1 (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-404"""
"Rua M (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-420"""
"Rua M (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-381"""
"Rua M (Lot Prq N América),""35º BI "",""Feira de Santana/BA"",""44094-788"""
"Rua Macapá,""Centro "",""Feira de Santana/BA"",""44002-656"""
"Rua Maceiõ,""Centro "",""Feira de Santana/BA"",""44002-600"""
"Rua Maceiõ,""Serraria Brasil "",""Feira de Santana/BA"",""44003-213"""
"Rua Machacalis,""Asa Branca "",""Feira de Santana/BA"",""44044-450"""
"Rua Machado de Assis,""Serraria Brasil "",""Feira de Santana/BA"",""44003-228"""
"Rua Madre de Deus,""Aviário "",""Feira de Santana/BA"",""44095-038"""
"Rua Maeve Lima Carvalho,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-524"""
"Rua Magali,""Tomba "",""Feira de Santana/BA"",""44090-044"""
"Rua Magé,""Asa Branca "",""Feira de Santana/BA"",""44044-460"""
"Rua Manaus,""Centro "",""Feira de Santana/BA"",""44002-680"""
"Rua Mangueira,""Calumbi "",""Feira de Santana/BA"",""44009-764"""
"Rua Manoel Matias de Azevedo,""Centro "",""Feira de Santana/BA"",""44002-616"""
"Rua Manoel Suzart,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-544"""
"Rua Manoel Timõteo dos Santos,""Olhos D'água "",""Feira de Santana/BA"",""44003-664"""
"Rua Mapuera,""Mangabeira "",""Feira de Santana/BA"",""44056-386"""
"Rua Maracani,""Asa Branca "",""Feira de Santana/BA"",""44044-440"""
"Rua Marapanim,""Asa Branca "",""Feira de Santana/BA"",""44044-445"""
"Rua Maraú,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-716"""
"Rua Marcos Aurélio,""Queimadinha "",""Feira de Santana/BA"",""44050-144"""
"Rua Maria Barbosa Mendes,""Calumbi "",""Feira de Santana/BA"",""44009-016"""
"Rua Mariápolis,""Asa Branca "",""Feira de Santana/BA"",""44044-455"""
"Rua Maringá,""Parque Ipé "",""Feira de Santana/BA"",""44054-602"""
"Rua Marivalda,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-720"""
"Rua Martinópolis,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-722"""
"Rua Maruim,""Parque Ipé "",""Feira de Santana/BA"",""44054-690"""
"Rua Mazagão,""Mangabeira "",""Feira de Santana/BA"",""44056-380"""
"Rua Mem de Sá,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-160"""
"Rua Miláo - de 527/528 ao fim,""Brasília "",""Feira de Santana/BA"",""44088-612"""
"Rua Milton Ramos,""Asa Branca "",""Feira de Santana/BA"",""44044-435"""
"Rua Milton Rios,""Asa Branca "",""Feira de Santana/BA"",""44044-442"""
"Rua Mimoso,""Aviário "",""Feira de Santana/BA"",""44095-010"""
"Rua Miosõtis,""Asa Branca "",""Feira de Santana/BA"",""44044-199"""
"Rua Miranda,""Mangabeira "",""Feira de Santana/BA"",""44056-300"""
"Rua Moisés,""Aviário "",""Feira de Santana/BA"",""44095-024"""
"Rua Monsenhor Aderbal Miranda - até 573/574,""Serraria Brasil "",""Feira de Santana/BA"",""44003-294"""
"Rua Monteiro,""Pampalona "",""Feira de Santana/BA"",""44031-445"""
"Rua Monteiro Lobato,""Pampalona "",""Feira de Santana/BA"",""44031-552"""
"Rua Montezuma,""Ponto Central "",""Feira de Santana/BA"",""44075-015"""
"Rua Muriaé,""Serraria Brasil "",""Feira de Santana/BA"",""44003-360"""
"Rua N (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-426"""
"Rua N (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-532"""
"Rua N (Lot Prq N América),""35º BI "",""Feira de Santana/BA"",""44094-782"""
"Rua N (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-095"""
"Rua Nantes Bela Vieira,""Gabriela "",""Feira de Santana/BA"",""44028-556"""
"Rua Nossa Senhora Aparecida,""Aviário "",""Feira de Santana/BA"",""44096-692"""
"Rua Nossa Senhora da Paz,""Aviário "",""Feira de Santana/BA"",""44096-704"""
"Rua Nossos Amigos Bandeirantes,""Aviário "",""Feira de Santana/BA"",""44095-044"""
"Rua Nova Esperança,""Aviário "",""Feira de Santana/BA"",""44096-680"""
"Rua O (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-414"""
"Rua O (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-534"""
"Rua O (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-085"""
"Rua Odilon Figueiredo Mascarenhas,""Pampalona "",""Feira de Santana/BA"",""44031-600"""
"Rua Oité,""Calumbi "",""Feira de Santana/BA"",""44009-756"""
"Rua Oito (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-346"""
"Rua Olinda,""Serraria Brasil "",""Feira de Santana/BA"",""44003-258"""
"Rua Olivença,""Mangabeira "",""Feira de Santana/BA"",""44056-364"""
"Rua Ondina,""Serraria Brasil "",""Feira de Santana/BA"",""44003-380"""
"Rua Opala,""Brasília "",""Feira de Santana/BA"",""44088-630"""
"Rua Oriximiná,""Mangabeira "",""Feira de Santana/BA"",""44056-344"""
"Rua Orlando Mascarenhas,""Pampalona "",""Feira de Santana/BA"",""44031-555"""
"Rua Osmário Silva Pena,""Gabriela "",""Feira de Santana/BA"",""44028-517"""
"Rua Osvaldo de Abreu Boaventura,""35º BI "",""Feira de Santana/BA"",""44094-776"""
"Rua Otoniel Carneiro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-016"""
"Rua Ouro Preto,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-176"""
"Rua P (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-366"""
"Rua P (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-536"""
"Rua Padilha,""Queimadinha "",""Feira de Santana/BA"",""44050-134"""
"Rua Palestina,""Mangabeira "",""Feira de Santana/BA"",""44056-336"""
"Rua Palma,""Centro "",""Feira de Santana/BA"",""44002-672"""
"Rua Pampáo,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-380"""
"Rua Pampeiro,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-460"""
"Rua Pamponet,""Tomba "",""Feira de Santana/BA"",""44090-016"""
"Rua Panamérica,""Pampalona "",""Feira de Santana/BA"",""44031-435"""
"Rua Pandalha,""Queimadinha "",""Feira de Santana/BA"",""44050-102"""
"Rua Papa João XXIII - até 623 - lado ímpar,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-005"""
"Rua Papa João XXIII - até 804 - lado par,""Olhos D'água "",""Feira de Santana/BA"",""44003-697"""
"Rua Papa João XXIII - de 806 a 1198 - lado par,""Olhos D'água "",""Feira de Santana/BA"",""44003-650"""
"Rua Pará,""Asa Branca "",""Feira de Santana/BA"",""44044-329"""
"Rua Paragominas,""Mangabeira "",""Feira de Santana/BA"",""44056-418"""
"Rua Paraibana (Lot N Morada),""Asa Branca "",""Feira de Santana/BA"",""44044-510"""
"Rua Paraíso,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-752"""
"Rua Paraíso do Norte (Lot N Morada),""Asa Branca "",""Feira de Santana/BA"",""44044-505"""
"Rua Parajuru,""Mangabeira "",""Feira de Santana/BA"",""44056-412"""
"Rua Paranacity,""Campo Limpo "",""Feira de Santana/BA"",""44032-048"""
"Rua Paranaguá,""Campo Limpo "",""Feira de Santana/BA"",""44032-034"""
"Rua Paranaguá,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-384"""
"Rua Paranduva,""Mangabeira "",""Feira de Santana/BA"",""44056-416"""
"Rua Paraúna,""Campo Limpo "",""Feira de Santana/BA"",""44032-051"""
"Rua Parima,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-670"""
